session_id,project,machine,start_time,end_time,duration_minutes,user_messages,assistant_messages,tool_calls,tool_types,agent_spawns,input_tokens,output_tokens,commits,branch,model
32828414-8459-429f-9f35-28371164e6e7,orion-work,orion-m4,2026-03-28T22:20:23.551Z,2026-03-28T22:41:41.259Z,21,69,108,59,"Bash;Edit;Glob;Read;Write",0,8157809,728,5,,claude-opus-4-5-20251101
3d171144-b3a2-44b4-9d8b-ac20101b7739,orion-work,orion-m4,2026-02-19T20:23:29.002Z,2026-02-20T21:25:14.130Z,1502,171,305,147,"AskUserQuestion;Bash;Edit;ExitPlanMode;Glob;Read;Task;TaskCreate;TaskUpdate;Write",0,27759221,712,5,,claude-opus-4-5-20251101
70b3c95e-ef34-4f02-b5a8-4dd0b4d07abe,orion-work,orion-m4,2026-03-28T20:57:50.661Z,2026-03-28T21:20:57.378Z,23,96,175,83,"AskUserQuestion;Bash;Edit;ExitPlanMode;Glob;Grep;Read;Write",0,12147427,427,6,,claude-opus-4-5-20251101
761ee877-95cc-48f3-a6a9-e0199c970e1c,orion-work,orion-m4,2026-02-20T21:25:16.988Z,2026-03-13T00:52:35.702Z,29007,83,154,69,"AskUserQuestion;Bash;Edit;EnterPlanMode;ExitPlanMode;Read;Task;Write",0,10254980,392,4,,claude-opus-4-5-20251101
8db89009-6ce2-4271-b583-73c9ff231b7f,orion-work,orion-m4,2026-02-19T02:36:47.852Z,2026-02-19T20:22:56.369Z,1066,97,146,84,"Bash;Edit;ExitPlanMode;Glob;Read;Task;TaskCreate;TaskUpdate;WebFetch;WebSearch;Write",0,8918755,313,1,,claude-opus-4-5-20251101
a2ec33b7-7dc7-4c0e-8b83-814283cc10ca,orion-work,orion-m4,2026-03-28T19:51:14.913Z,2026-03-28T20:57:40.717Z,66,213,360,171,"Bash;Edit;ExitPlanMode;Glob;Read;Task;TaskCreate;TaskList;TaskOutput;TaskUpdate;Write",0,33676154,694,7,,claude-opus-4-5-20251101
b92ef801-098d-460d-a5d2-2056847c601d,orion-work,orion-m4,2026-03-29T03:49:08.647Z,2026-04-08T04:52:20.871Z,14463,308,474,246,"Agent;Bash;Edit;Glob;Grep;Read;Task;Write",1,46733769,17148,8,HEAD,<synthetic>
c6054579-b5e2-4554-8195-0df2aacb53d6,orion-work,orion-m4,2026-03-29T16:09:48.840Z,2026-03-29T16:09:48.842Z,0,3,0,0,"",0,0,0,0,,
8cf99222-f961-49c3-88e3-7ece4e0f2b20,audiocontrol,orion-m4,2026-03-29T03:48:48.634Z,2026-03-29T03:48:48.635Z,0,3,0,0,"",0,0,0,0,main,
363f18a8-21b9-4682-a92a-2cebe5f845eb,audiocontrol-continuous-improvement,orion-m4,2026-04-07T19:50:19.007Z,2026-04-10T21:26:35.873Z,4416,8156,11334,6914,"Agent;AskUserQuestion;Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Skill;TaskCreate;TaskUpdate;ToolSearch;WebFetch;WebSearch;Write",157,5896961307,2961785,275,feature/library-ux,claude-opus-4-6
c629d574-581a-4482-b38e-77f52d3e8f59,audiocontrol-continuous-improvement,orion-m4,2026-04-07T19:50:19.007Z,2026-04-10T19:59:14.734Z,4329,4719,6566,3985,"Agent;AskUserQuestion;Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Skill;TaskCreate;TaskUpdate;ToolSearch;WebFetch;WebSearch;Write",83,3298478788,1762872,157,feature/library-ux,claude-opus-4-6
c629d574-581a-4482-b38e-77f52d3e8f59,audiocontrol-library-ux,orion-m4,2026-04-07T19:50:19.007Z,2026-04-10T21:26:09.486Z,4416,4797,6659,4042,"Agent;AskUserQuestion;Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Skill;TaskCreate;TaskUpdate;ToolSearch;WebFetch;WebSearch;Write",84,3378681928,1793676,161,feature/library-ux,claude-opus-4-6
eab24a9d-a222-4350-bedc-803581002239,audiocontrol-s330-editor,orion-m4,2026-03-12T02:47:16.564Z,2026-03-13T17:29:40.171Z,2322,494,987,440,"Bash;Edit;Glob;Grep;Read;Task;TaskCreate;TaskUpdate;Write",0,110023286,3441,15,feature/s330-editor,claude-opus-4-5-20251101
f6957b7f-cd3a-4aa9-aed4-1a891b1765fd,audiocontrol-s330-editor,orion-m4,2026-03-09T05:54:10.942Z,2026-03-12T02:40:04.513Z,4126,1321,2869,1184,"AskUserQuestion;Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Task;TaskCreate;TaskOutput;TaskUpdate;WebFetch;Write",0,319192396,8639,35,feature/s330-editor,claude-opus-4-5-20251101
10b368f7-b454-4c63-8014-9b13c5698320,audiocontrol-s550-support,orion-m4,2026-03-14T04:04:53.083Z,2026-03-15T22:23:02.228Z,2538,260,451,239,"AskUserQuestion;Bash;Edit;ExitPlanMode;Grep;Read;Task;TaskCreate;TaskList;TaskUpdate;Write",0,47476024,2233,3,feature/s550-support,claude-opus-4-5-20251101
27263c0e-1391-4627-a124-a16dda0895fe,audiocontrol-s550-support,orion-m4,2026-03-21T00:21:08.755Z,2026-03-21T01:55:33.196Z,94,172,339,156,"Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Task;TaskCreate;TaskUpdate;Write",0,35993835,1241,2,feature/s550-support,claude-opus-4-5-20251101
32b8c637-ecc8-431e-89e5-47c569cd0d37,audiocontrol-s550-support,orion-m4,2026-03-13T01:08:55.246Z,2026-03-14T04:04:02.464Z,1615,829,1744,763,"Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Task;TaskCreate;TaskUpdate;Write",0,191656608,4647,22,feature/s550-support,claude-opus-4-5-20251101
